Document ID,Docket ID,Title,Petition Date,Response Date,FDA Center,Petitioner,"Type of Document (Petition, Interim Response, Final Response)",Response Type,Mined_Response_Type,Document_Role,is_scanned
FDA-2007-P-0189-0003,FDA-2007-P-0189,"FDA/CDER to Acorda Therapeutics, Inc.",,10/9/07,CDER,"Acorda Therapeutics, Inc.",Interim Response,Withdrawn,Withdrawn,Other Document,True
FDA-2007-P-0190-0004,FDA-2007-P-0190,Public Citizen's Health Research Group - Citizen Petition,2/6/07,,CDER,Public Citizen's Health Research Group,Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0190-0003,FDA-2007-P-0190,Interim Response to Public Citizen's Health Research Group - Letter,,7/30/07,CDER,Public Citizen's Health Research Group,Interim Response,Denied,Denied,Correspondence,False
FDA-2007-P-0190-0012,FDA-2007-P-0190,FDA/CDER to Public Citizen - Petition Denial,,1/10/13,CDER,Public Citizen's Health Research Group,Final Response,Denied,Denied,Interim FDA Response,True
FDA-2007-P-0191-0002,FDA-2007-P-0191,"Lachman Consultant Services, Inc. - Citizen Petition",9/27/07,,CDER,"Lachman Consultant Services, Inc.",Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0191-0003,FDA-2007-P-0191,"FDA Center for Drug Evaluation and Research  Response to Lachman Consultant Services, Inc. - Petition Denial",,6/26/08,CDER,"Lachman Consultant Services, Inc.",Final Response,Denied,Denied,Initial Petition,True
FDA-2007-P-0192-0004,FDA-2007-P-0192,Aurobindo Pharmaceuticals Ltd. - Citizen Petition,5/1/07,,CDER,Aurobindo Pharmaceuticals Ltd.,Petition,Response received,Response received,Correspondence,False
FDA-2007-P-0192-0003,FDA-2007-P-0192,FDA Interim Response to Kendle International - Letter,,10/29/07,CDER,Aurobindo Pharmaceuticals Ltd.,Interim Response,Response received,Response received,Correspondence,False
FDA-2007-P-0232-0002,FDA-2007-P-0232,Coalition for Mercury-Free Drugs (CoMeD) - Citizen Petition - Cover Letter & Citation List,8/23/07,,CBER,Coalition For Mercury-Free Drugs (Comed),Petition,Denied,Denied,Correspondence,False
FDA-2007-P-0232-0003,FDA-2007-P-0232,FDA/CBER Interim Response to the Coalition for Mercury-Free Drugs (CoMeD) - Letter,,2/8/08,CBER,Coalition For Mercury-Free Drugs (Comed),Interim Response,Denied,Denied,Initial Petition,True
FDA-2007-P-0232-0004,FDA-2007-P-0232,FDA/OC Response to the Coalition for Mercury-Free Drugs - Petition Denial,,11/21/08,CBER,Coalition For Mercury-Free Drugs (Comed),Final Response,Denied,Denied,Interim FDA Response,True
